id,name,country,team
1,Carljr,CA,Solary
2,Pac,UK,-
3,Gwen,FR,"Gamer's First"
4,Bren,FR,Karmine Corp
5,Affi,CH,Into The Breach
6,Tween,SK,Sinners
7,Kappa,CZ,Sinners
8,Spam,NL,Alliance
9,Mudda,AU,Alliance
10,Papou,FR,Team GO
11,Aurel,FR,BDS
12,Otaaaq,FR,Karmine Corp
13,Granady,DE,BIG
14,Massa,DE,BIG
15,Binkss,FR,"Gamer's First"
16,Scrapie,BE,AYAYA
17,Mime,PL,Into The Breach
18,Miquatro,FI,NoTeam
19,Razii,HR,NoTeam
20,Evon,PL,NoTeam
21,Link,FR,NoTeam
22,Sapi,FR,NoTeam
23,Wosile,FR,NoTeam
24,Cocow,FR,NoTeam
25,Ener,FR,NoTeam
26,Feed,FR,NoTeam
27,Worker,FR,NoTeam
28,Haedra,FR,NoTeam
29,NRGZ,FR,NoTeam
30,Soulja,BE,NoTeam
31,Cap,FR,NoTeam
32,Dofault,BE,NoTeam
33,Snow,FR,NoTeam
34,Nixotica,US,NoTeam
35,Phegley,US,NoTeam
36,Revolution,DE,NoTeam
37,Skandear,BE,NoTeam
38,Dark,FR,NoTeam
39,Glast,FR,NoTeam
40,Micka,FR,NoTeam
41,Thedarkwix,FR,NoTeam
42,Hugo220,FR,NoTeam
43,Supercarlouf,FR,NoTeam
44,Bresso,DE,NoTeam
45,Acide,FR,NoTeam
46,Dionysos,FR,NoTeam
47,Hornet,FR,NoTeam
48,Sly,FR,NoTeam
49,Alphaa,FR,NoTeam
50,Vulnerra,FR,NoTeam
51,Teukka,FI,NoTeam
52,Ratchet,DE,NoTeam
53,Barbos,DE,NoTeam
54,Panda,FR,NoTeam
55,Crosshairs,AZ,NoTeam
56,Elconn21,CZ,NoTeam
57,Sam,FR,NoTeam
58,Jeanrene,FR,NoTeam
59,Whizzy,UK,NoTeam
60,Melioo,FR,NoTeam
61,Mimojr,FR,NoTeam
62,7ven,FR,NoTeam
63,Raceta,IL,NoTeam
64,Rotaker,PL,NoTeam
65,ShcrTM,FR,NoTeam
66,Dexter,DE,NoTeam
67,Karjen,SE,NoTeam
68,Eddie,DE,NoTeam
69,Hobbit,DE,NoTeam
70,Pusztitopako,HU,NoTeam
71,Keby,SE,NoTeam
72,Solivagantz,DK,NoTeam
73,Schmaniol,DE,NoTeam
74,Deska,PL,NoTeam
75,Ixawai,FR,NoTeam
76,Kakkou,FR,NoTeam
77,Roquete,FR,NoTeam
78,Arthaniir,BE,NoTeam
79,Xerar,FR,NoTeam
80,Thomasjean,CH,NoTeam
81,Monkey,FR,NoTeam
82,Toruss,CH,NoTeam
83,Aynyx,FR,NoTeam
84,Siqaa,FR,NoTeam
85,Lyker,FR,NoTeam
86,Utaa,FR,NoTeam
87,Mawi,PT,NoTeam
88,Zycos,NL,NoTeam
89,Mattouz,FR,NoTeam
90,Complex,NL,NoTeam
91,Shockeur,FR,NoTeam
92,Mathics,NL,NoTeam
93,Wag,NL,NoTeam
94,Mixmod,FR,NoTeam
95,Jussy,NL,NoTeam
96,Zoom,FR,NoTeam
97,Vortax,FR,NoTeam
98,Buzy,FR,NoTeam
99,Tricky,FR,NoTeam
100,Gold,FR,NoTeam
101,Zedrum,FR,NoTeam
102,Lasaliere,FR,NoTeam
103,Speedself,FR,NoTeam
104,Nicsoby,FR,NoTeam
105,Fritos,FR,NoTeam
106,Kerberos,FR,NoTeam
107,Sheinimi,FR,NoTeam
108,Richie,FR,NoTeam
109,Omega,FR,NoTeam
110,Kozo,FR,NoTeam